CODIGO_MESA,DESCRIPCION,CODIGO_PAIS,NOMBRE_PAIS,CODIGO_DEPARTAMENTO,NOMBRE_DEPARTAMENTO,CODIGO_PROVINCIA,NOMBRE_PROVINCIA,CODIGO_SECCION,NOMBRE_MUNICIPIO,CODIGO_LOCALIDAD,NOMBRE_LOCALIDAD,CODIGO_RECINTO,NOMBRE_RECINTO,NUMERO_MESA,INSCRITOS_HABILITADOS,BSTH,CZM - APG,CST,C-A,UN,FPV,MAS-IPSP,MIM,MNR,MTS,PAN-BOL,R-2025,SOMHOS,T.P.C.,UNIR-VILLA VACA GUZMAN,UNIDOS,VOTO_VALIDO,VOTO_BLANCO,VOTO_NULO,VOTO_EMITIDO,VOTO_VALIDO_SISTEMA,VOTO_EMITIDO_SISTEMA
1000372,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,106,Kinder San Vicente De Paul,3,220,14,0,95,10,0,0,27,0,1,0,0,0,0,0,0,13,160,5,13,178,160,178
1000892,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,30013,Coliseo Col. San Cristobal (Temporal),3,220,12,0,104,12,0,0,32,0,0,0,0,0,0,0,0,13,173,5,3,181,173,181
1000972,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,103,Esc. Mariscal De Ayacucho,1,220,10,0,136,3,0,0,17,0,1,0,0,0,0,0,0,11,178,5,4,187,178,187
1000982,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,103,Esc. Mariscal De Ayacucho,2,220,12,0,128,4,0,0,23,0,0,0,0,0,0,0,0,19,186,1,5,192,186,192
1000992,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,103,Esc. Mariscal De Ayacucho,3,108,9,0,51,3,0,0,10,0,2,0,0,0,0,0,0,12,87,2,5,94,87,94
1001382,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,30001,Facultad de Tecnología Médica (Temporal),5,220,11,0,104,15,0,0,35,0,1,0,0,0,0,0,0,10,176,4,9,189,176,189
1001442,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,30009,Coliseo San José (Temporal),1,220,10,0,100,12,0,0,28,0,2,0,0,0,0,0,0,9,161,7,11,179,161,179
1001452,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,30009,Coliseo San José (Temporal),2,220,14,0,114,6,0,0,37,0,0,0,0,0,0,0,0,6,177,1,9,187,177,187
1001472,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,30009,Coliseo San José (Temporal),4,238,18,0,111,10,0,0,41,0,1,0,0,0,0,0,0,11,192,3,8,203,192,203
1001532,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,1,220,9,0,112,11,0,0,39,0,1,0,0,0,0,0,0,11,183,5,8,196,183,196
1001542,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,2,220,11,0,100,4,0,0,49,0,0,0,0,0,0,0,0,8,172,10,9,191,172,191
1001552,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,3,220,21,0,81,14,0,0,43,0,0,0,0,0,0,0,0,7,166,9,11,186,166,186
1001562,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,4,220,15,0,90,12,0,0,48,0,5,0,0,0,0,0,0,11,181,8,12,201,181,201
1001572,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,5,220,12,0,82,7,0,0,49,0,1,0,0,0,0,0,0,8,159,13,10,182,159,182
1001602,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,8,220,18,0,89,4,0,0,53,0,2,0,0,0,0,0,0,14,180,1,7,188,180,188
1001612,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,9,207,11,0,98,9,0,0,37,0,2,0,0,0,0,0,0,7,164,6,5,175,164,175
1003522,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,407,Estadium Patria,5,220,12,0,85,8,0,0,37,0,1,0,0,0,0,0,0,17,160,3,12,175,160,175
1003662,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,529,Iglesia San Matías,1,220,13,0,87,17,0,0,37,0,1,0,0,0,0,0,0,10,165,7,8,180,165,180
1003672,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,529,Iglesia San Matías,2,220,11,0,105,13,0,0,36,0,0,0,0,0,0,0,0,13,178,7,9,194,178,194
1003682,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,529,Iglesia San Matías,3,220,16,0,90,8,0,0,27,0,0,0,0,0,0,0,0,17,158,8,10,176,158,176
1003692,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,529,Iglesia San Matías,4,220,20,0,103,11,0,0,35,0,1,0,0,0,0,0,0,3,173,8,6,187,173,187
1003712,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,529,Iglesia San Matías,6,220,15,0,94,14,0,0,37,0,1,0,0,0,0,0,0,12,173,9,5,187,173,187
1003722,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,529,Iglesia San Matías,7,220,12,0,98,10,0,0,33,0,0,0,0,0,0,0,0,10,163,8,10,181,163,181
1003732,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,529,Iglesia San Matías,8,225,13,0,95,19,0,0,39,0,1,0,0,0,0,0,0,13,180,7,12,199,180,199
1003812,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,25530,Campo Deportivo Noria Alta,8,41,4,0,17,0,0,0,9,0,0,0,0,0,0,0,0,3,33,0,2,35,33,35
1003822,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,25577,U.E. Cristo Rey,1,106,5,0,39,6,0,0,19,0,0,0,0,0,0,0,0,7,76,4,1,81,76,81
1004862,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,30011,Campo Deportivo SETESUR (Temporal),1,220,13,0,87,12,0,0,40,0,0,0,0,0,0,0,0,10,162,4,15,181,162,181
1006782,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,26372,Salón Multifuncional Sancho,1,142,3,0,57,4,0,0,39,0,0,0,0,0,0,0,0,11,114,9,11,134,114,134
1008042,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,534,Escuela Tucsupaya,1,220,7,0,86,13,0,0,54,0,2,0,0,0,0,0,0,9,171,11,8,190,171,190
1008072,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,534,Escuela Tucsupaya,4,220,13,0,80,7,0,0,52,0,1,0,0,0,0,0,0,12,165,11,20,196,165,196
1008092,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,534,Escuela Tucsupaya,6,220,12,0,96,14,0,0,41,0,2,0,0,0,0,0,0,12,177,14,7,198,177,198
1008102,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,534,Escuela Tucsupaya,7,220,14,0,92,17,0,0,36,0,1,0,0,0,0,0,0,12,172,7,7,186,172,186
1008152,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,534,Escuela Tucsupaya,12,220,7,0,103,8,0,0,42,0,1,0,0,0,0,0,0,9,170,10,19,199,170,199
1008162,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,534,Escuela Tucsupaya,13,220,14,0,88,8,0,0,60,0,0,0,0,0,0,0,0,11,181,11,12,204,181,204
1008192,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,534,Escuela Tucsupaya,16,220,6,0,111,6,0,0,46,0,1,0,0,0,0,0,0,6,176,3,14,193,176,193
1008232,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,25027,Salon Multifuncional El Niño,1,220,15,0,104,5,0,0,38,0,0,0,0,0,0,0,0,14,176,7,5,188,176,188
1008252,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,25027,Salon Multifuncional El Niño,3,220,17,0,86,13,0,0,49,0,0,0,0,0,0,0,0,12,177,2,13,192,177,192
1008262,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,25027,Salon Multifuncional El Niño,4,220,8,0,104,12,0,0,44,0,0,0,0,0,0,0,0,10,178,5,9,192,178,192
1008282,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,25027,Salon Multifuncional El Niño,6,121,7,0,54,8,0,0,26,0,0,0,0,0,0,0,0,7,102,3,6,111,102,111
1010292,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,26374,U.E. Kurusa Llawi,1,63,2,0,12,5,0,0,21,0,2,0,0,0,0,0,0,2,44,5,5,54,44,54
1010302,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,26375,U.E. Tomas Katari Sucre,1,209,17,0,69,8,0,0,53,0,1,0,0,0,0,0,0,7,155,8,24,187,155,187
1000372,ASAMBLEISTA TERRITORIO,32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,106,Kinder San Vicente De Paul,3,220,11,0,68,9,3,0,26,0,0,0,0,0,0,0,0,30,147,19,12,178,147,178
1000892,ASAMBLEISTA TERRITORIO,32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,30013,Coliseo Col. San Cristobal (Temporal),3,220,12,0,69,18,8,0,27,0,0,0,0,0,0,0,0,22,156,22,3,181,156,181
1000972,ASAMBLEISTA TERRITORIO,32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,103,Esc. Mariscal De Ayacucho,1,220,9,0,86,9,9,0,16,0,0,0,0,0,0,0,0,28,157,24,6,187,157,187
1000982,ASAMBLEISTA TERRITORIO,32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,103,Esc. Mariscal De Ayacucho,2,220,9,0,97,11,4,0,23,0,0,0,0,0,0,0,0,30,174,13,5,192,174,192
1000992,ASAMBLEISTA TERRITORIO,32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,103,Esc. Mariscal De Ayacucho,3,108,3,0,31,7,6,0,11,0,0,0,0,0,0,0,0,16,74,16,4,94,74,94
1001382,ASAMBLEISTA TERRITORIO,32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,30001,Facultad de Tecnología Médica (Temporal),5,220,8,0,70,20,2,0,36,0,0,0,0,0,0,0,0,14,150,26,13,189,150,189
1001442,ASAMBLEISTA TERRITORIO,32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,30009,Coliseo San José (Temporal),1,220,14,0,60,18,5,0,25,0,0,0,0,0,0,0,0,17,139,32,8,179,139,179
1001452,ASAMBLEISTA TERRITORIO,32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,30009,Coliseo San José (Temporal),2,220,18,0,64,16,2,0,32,0,0,0,0,0,0,0,0,27,159,23,5,187,159,187
1001472,ASAMBLEISTA TERRITORIO,32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,30009,Coliseo San José (Temporal),4,238,20,0,79,20,3,0,29,0,0,0,0,0,0,0,0,20,171,27,5,203,171,203
1001532,ASAMBLEISTA TERRITORIO,32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,1,220,5,0,81,20,5,0,33,0,0,0,0,0,0,0,0,18,162,25,9,196,162,196
1001542,ASAMBLEISTA TERRITORIO,32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,2,220,16,0,63,8,4,0,43,0,0,0,0,0,0,0,0,19,153,31,7,191,153,191
1001552,ASAMBLEISTA TERRITORIO,32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,3,220,13,0,49,25,7,0,39,0,0,0,0,0,0,0,0,17,150,25,11,186,150,186
1001562,ASAMBLEISTA TERRITORIO,32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,4,220,10,0,63,16,5,0,47,0,0,0,0,0,0,0,0,19,160,31,10,201,160,201
1001572,ASAMBLEISTA TERRITORIO,32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,5,220,13,0,60,11,6,0,43,0,0,0,0,0,0,0,0,19,152,25,5,182,152,182
1001602,ASAMBLEISTA TERRITORIO,32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,8,220,15,0,63,11,4,0,44,0,0,0,0,0,0,0,0,20,157,27,4,188,157,188
1001612,ASAMBLEISTA TERRITORIO,32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,9,207,11,0,76,13,4,0,35,0,0,0,0,0,0,0,0,17,156,16,3,175,156,175
1003522,ASAMBLEISTA TERRITORIO,32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,407,Estadium Patria,5,220,8,0,54,15,4,0,37,0,0,0,0,0,0,0,0,24,142,24,9,175,142,175
1003662,ASAMBLEISTA TERRITORIO,32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,529,Iglesia San Matías,1,220,8,0,61,26,6,0,30,0,0,0,0,0,0,0,0,15,146,28,6,180,146,180
1003672,ASAMBLEISTA TERRITORIO,32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,529,Iglesia San Matías,2,220,13,0,71,24,7,0,31,0,0,0,0,0,0,0,0,22,168,20,6,194,168,194
1003682,ASAMBLEISTA TERRITORIO,32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,529,Iglesia San Matías,3,220,7,0,54,20,7,0,22,0,0,0,0,0,0,0,0,27,137,30,9,176,137,176
1003692,ASAMBLEISTA TERRITORIO,32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,529,Iglesia San Matías,4,220,10,0,70,16,0,0,41,0,0,0,0,0,0,0,0,17,154,23,10,187,154,187
1003712,ASAMBLEISTA TERRITORIO,32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,529,Iglesia San Matías,6,220,8,0,62,29,3,0,35,0,0,0,0,0,0,0,0,18,155,27,5,187,155,187
1003722,ASAMBLEISTA TERRITORIO,32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,529,Iglesia San Matías,7,220,11,0,66,18,7,0,28,0,0,0,0,0,0,0,0,20,150,21,10,181,150,181
1003732,ASAMBLEISTA TERRITORIO,32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,529,Iglesia San Matías,8,225,9,0,62,23,6,0,32,0,0,0,0,0,0,0,0,25,157,33,9,199,157,199
1003812,ASAMBLEISTA TERRITORIO,32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,25530,Campo Deportivo Noria Alta,8,41,2,0,12,6,1,0,9,0,0,0,0,0,0,0,0,3,33,2,0,35,33,35
1003822,ASAMBLEISTA TERRITORIO,32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,25577,U.E. Cristo Rey,1,106,3,0,25,11,3,0,18,0,0,0,0,0,0,0,0,11,71,10,0,81,71,81
1004862,ASAMBLEISTA TERRITORIO,32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,30011,Campo Deportivo SETESUR (Temporal),1,220,10,0,58,15,0,0,38,0,0,0,0,0,0,0,0,23,144,29,8,181,144,181
1006782,ASAMBLEISTA TERRITORIO,32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,26372,Salón Multifuncional Sancho,1,142,5,0,37,3,1,0,31,0,0,0,0,0,0,0,0,21,98,25,11,134,98,134
1008042,ASAMBLEISTA TERRITORIO,32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,534,Escuela Tucsupaya,1,220,5,0,62,22,4,0,48,0,0,0,0,0,0,0,0,22,163,20,7,190,163,190
1008072,ASAMBLEISTA TERRITORIO,32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,534,Escuela Tucsupaya,4,220,9,0,44,15,5,0,46,0,0,0,0,0,0,0,0,26,145,33,18,196,145,196
