CODIGO_MESA,DESCRIPCION,CODIGO_PAIS,NOMBRE_PAIS,CODIGO_DEPARTAMENTO,NOMBRE_DEPARTAMENTO,CODIGO_PROVINCIA,NOMBRE_PROVINCIA,CODIGO_SECCION,NOMBRE_MUNICIPIO,CODIGO_LOCALIDAD,NOMBRE_LOCALIDAD,CODIGO_RECINTO,NOMBRE_RECINTO,NUMERO_MESA,INSCRITOS_HABILITADOS,ASP,ADEPCOCA,CAOSAM,C 2000,C-A,CUMI,CICOTI,CAOTM,UN,FPV,T-INTI,J.A. LLALLA.L.P.,MACOJMA,MAYA C,MIDELUR,MAS-IPSP,MCP - NG,M.I.A.S.U.N.T.A.,MK - PC,MPS,MTS,MYP,PAN-BOL,PDC,PBCSP,UNIDOS,SOL.BO,TS,ML(MARKANAKAS LAYKU),UCS,UVA,V,VOTO_VALIDO,VOTO_BLANCO,VOTO_NULO,VOTO_EMITIDO,VOTO_VALIDO_SISTEMA,VOTO_EMITIDO_SISTEMA
2003232,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,403,Col. Cervantes,11,220,0,0,0,0,0,0,0,0,2,1,0,13,0,0,0,14,0,0,0,0,2,0,0,1,140,0,3,0,0,0,0,0,176,3,6,185,176,185
2003722,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,3024,(Cárcel) C.O.F. Miraflores,1,54,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,14,0,0,0,0,1,0,0,0,9,0,2,0,0,0,0,0,30,1,0,31,30,31
2012122,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,25337,U.E. Gran Bretaña,6,146,0,0,0,0,1,0,0,0,7,0,0,5,0,0,0,20,0,0,0,0,5,0,0,0,79,0,4,0,0,0,0,1,122,3,3,128,122,128
2012262,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,1101,U. E. Ff. Aa. De La Nación,5,220,1,0,0,0,0,0,0,0,4,0,0,13,0,0,0,73,0,0,0,0,2,0,0,0,83,0,1,0,0,0,0,0,177,3,1,181,177,181
2012342,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,1101,U. E. Ff. Aa. De La Nación,13,220,0,0,0,0,0,0,0,0,4,1,0,25,0,0,0,88,0,0,0,0,4,0,0,0,61,0,1,0,0,0,0,0,184,5,2,191,184,191
2013702,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,25729,U.E. Cesar Patiño,4,122,0,0,0,0,0,0,0,0,4,1,0,6,0,0,0,15,0,0,0,0,0,0,0,0,63,1,3,0,0,0,0,0,93,1,6,100,93,100
2014142,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,25730,U.E. Pantini,2,67,0,0,0,0,1,0,0,0,0,1,0,9,0,0,0,33,0,0,0,0,3,0,0,0,6,1,0,0,0,0,0,0,54,2,5,61,54,61
2014472,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,1204,Colegio Rene Barrientos,14,220,0,0,0,0,1,0,0,0,5,1,0,7,0,0,0,15,0,0,0,0,3,0,0,0,122,0,2,0,0,0,0,0,156,1,6,163,156,163
2014492,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,1204,Colegio Rene Barrientos,16,220,0,0,0,0,2,0,0,0,1,0,0,13,0,0,0,18,0,0,0,1,4,0,1,0,124,0,3,0,0,0,0,0,167,2,2,171,167,171
2014972,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,1303,Unidad Educativa Los Pinos,9,220,0,0,0,0,2,0,0,0,4,1,0,4,0,0,0,17,0,0,0,0,1,0,0,0,137,0,6,0,0,0,0,0,172,3,4,179,172,179
2015802,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,1403,U.E. Betesta,10,220,0,0,0,0,0,0,0,0,1,0,0,21,0,0,0,90,0,0,0,0,1,0,0,0,66,1,3,0,0,0,0,0,183,8,11,202,183,202
2018282,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,1703,"U.E. San Fernando """"A""""",3,220,0,0,0,0,1,0,0,0,1,1,0,16,0,0,0,43,0,0,0,0,7,0,1,0,117,0,0,0,0,0,0,0,187,1,3,191,187,191
2022562,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,2103,Esc. Alcides Arguedas,2,220,0,0,0,0,1,0,0,0,1,2,0,21,0,0,0,48,0,0,0,0,4,0,0,0,105,1,1,0,0,0,0,0,184,1,4,189,184,189
2022572,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,2103,Esc. Alcides Arguedas,3,220,0,0,0,0,1,0,0,0,2,3,0,27,0,0,0,52,0,0,0,2,5,0,0,0,87,1,4,0,0,0,0,1,185,4,8,197,185,197
2022602,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,2103,Esc. Alcides Arguedas,6,167,1,0,0,0,1,0,0,0,2,2,0,17,0,0,0,45,0,0,0,1,2,0,0,0,66,0,0,0,0,0,0,2,139,2,3,144,139,144
2003232,ASAMBLEISTA TERRITORIO,32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,403,Col. Cervantes,11,220,1,0,0,0,1,0,0,0,0,3,0,10,0,0,0,13,0,0,0,0,0,0,0,0,117,0,10,0,0,0,0,0,155,26,4,185,155,185
2003722,ASAMBLEISTA TERRITORIO,32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,3024,(Cárcel) C.O.F. Miraflores,1,54,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,12,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,23,7,1,31,23,31
2012122,ASAMBLEISTA TERRITORIO,32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,25337,U.E. Gran Bretaña,6,146,1,0,0,0,3,0,0,0,1,0,0,6,0,0,0,21,0,0,0,4,1,0,1,0,69,0,4,0,0,0,0,2,113,12,3,128,113,128
2012262,ASAMBLEISTA TERRITORIO,32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,1101,U. E. Ff. Aa. De La Nación,5,220,0,0,0,0,1,0,0,0,2,0,0,10,0,0,0,64,0,0,0,1,1,0,0,0,77,0,3,0,0,0,0,1,160,19,2,181,160,181
2012342,ASAMBLEISTA TERRITORIO,32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,1101,U. E. Ff. Aa. De La Nación,13,220,1,0,0,0,6,0,0,0,2,0,0,21,0,0,0,78,0,0,0,2,4,0,0,0,44,1,2,0,0,0,0,0,161,29,1,191,161,191
2013702,ASAMBLEISTA TERRITORIO,32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,25729,U.E. Cesar Patiño,4,122,0,0,0,0,1,0,0,0,1,1,0,7,0,0,0,15,0,0,0,0,0,0,0,0,55,0,4,0,0,0,0,0,84,8,8,100,84,100
2014142,ASAMBLEISTA TERRITORIO,32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,25730,U.E. Pantini,2,67,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,32,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,46,12,3,61,46,61
2014472,ASAMBLEISTA TERRITORIO,32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,1204,Colegio Rene Barrientos,14,220,1,0,0,0,4,0,0,0,8,0,0,3,0,0,0,12,0,0,0,0,3,0,1,0,109,0,3,0,0,0,0,0,144,13,6,163,144,163
2014492,ASAMBLEISTA TERRITORIO,32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,1204,Colegio Rene Barrientos,16,220,1,0,0,0,5,0,0,0,2,1,0,7,0,0,0,19,0,0,0,0,2,0,1,0,104,0,5,0,0,0,0,0,147,21,3,171,147,171
2014972,ASAMBLEISTA TERRITORIO,32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,1303,Unidad Educativa Los Pinos,9,220,0,0,0,0,5,0,0,0,2,1,0,6,0,0,0,14,0,0,0,0,1,0,0,0,114,0,11,0,0,0,0,0,154,19,6,179,154,179
2015802,ASAMBLEISTA TERRITORIO,32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,1403,U.E. Betesta,10,220,3,0,0,0,3,0,0,0,2,0,0,17,0,0,0,78,0,0,0,0,2,0,0,0,52,0,6,0,0,0,0,0,163,30,9,202,163,202
2018282,ASAMBLEISTA TERRITORIO,32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,1703,"U.E. San Fernando """"A""""",3,220,1,0,0,0,5,0,0,0,1,2,0,16,0,0,0,41,0,0,0,1,1,0,1,0,91,0,5,0,0,0,0,0,165,23,3,191,165,191
2022562,ASAMBLEISTA TERRITORIO,32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,2103,Esc. Alcides Arguedas,2,220,1,0,0,0,3,0,0,0,3,0,0,20,0,0,0,44,0,0,0,2,5,0,0,0,93,1,2,0,0,0,0,0,174,11,4,189,174,189
2022572,ASAMBLEISTA TERRITORIO,32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,2103,Esc. Alcides Arguedas,3,220,0,0,0,0,1,0,0,0,2,1,0,24,0,0,0,48,0,0,0,1,4,0,0,0,73,1,5,0,0,0,0,0,160,30,7,197,160,197
2022602,ASAMBLEISTA TERRITORIO,32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,2103,Esc. Alcides Arguedas,6,167,1,0,0,0,3,0,0,0,1,0,0,16,0,0,0,38,0,0,0,0,3,0,0,0,56,1,0,0,0,0,0,0,119,22,3,144,119,144
2003232,ASAMBLEISTA POBLACION,32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,403,Col. Cervantes,11,220,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,11,0,0,0,0,0,0,0,0,108,0,9,0,0,0,0,1,142,39,4,185,142,185
2003722,ASAMBLEISTA POBLACION,32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,3024,(Cárcel) C.O.F. Miraflores,1,54,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,16,15,0,31,16,31
2012122,ASAMBLEISTA POBLACION,32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,25337,U.E. Gran Bretaña,6,146,0,0,0,0,3,0,0,0,5,0,0,5,0,0,0,18,0,0,0,0,1,0,0,0,62,0,4,0,0,0,0,1,99,26,3,128,99,128
2012262,ASAMBLEISTA POBLACION,32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,1101,U. E. Ff. Aa. De La Nación,5,220,1,0,0,0,0,0,0,0,2,0,0,6,0,0,0,49,0,0,0,1,0,0,0,0,65,0,3,0,0,0,0,0,127,52,2,181,127,181
2012342,ASAMBLEISTA POBLACION,32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,1101,U. E. Ff. Aa. De La Nación,13,220,0,0,0,0,1,0,0,0,2,2,0,18,0,0,0,68,0,0,0,0,1,0,0,0,41,0,4,0,0,0,0,0,137,53,1,191,137,191
2013702,ASAMBLEISTA POBLACION,32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,25729,U.E. Cesar Patiño,4,122,0,0,0,0,0,0,0,0,1,1,0,6,0,0,0,14,0,0,0,0,0,0,0,0,51,1,4,0,0,0,0,0,78,17,5,100,78,100
2014142,ASAMBLEISTA POBLACION,32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,25730,U.E. Pantini,2,67,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,26,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,36,22,3,61,36,61
2014472,ASAMBLEISTA POBLACION,32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,1204,Colegio Rene Barrientos,14,220,0,0,0,0,4,0,0,0,10,0,0,4,0,0,0,13,0,0,0,0,2,0,0,0,101,0,3,0,0,0,0,0,137,20,6,163,137,163
2014492,ASAMBLEISTA POBLACION,32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,1204,Colegio Rene Barrientos,16,220,0,0,0,0,3,0,0,0,2,1,0,7,0,0,0,13,0,0,0,0,3,0,0,0,95,0,7,0,0,0,0,0,131,36,4,171,131,171
2014972,ASAMBLEISTA POBLACION,32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,1303,Unidad Educativa Los Pinos,9,220,0,0,0,0,5,0,0,0,2,1,0,4,0,0,0,14,0,0,0,0,1,0,0,1,110,0,10,0,0,0,0,1,149,25,5,179,149,179
2015802,ASAMBLEISTA POBLACION,32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,1403,U.E. Betesta,10,220,1,0,0,0,1,0,0,0,0,0,0,15,0,0,0,69,0,0,0,1,1,0,0,0,51,0,3,0,0,0,0,0,142,56,4,202,142,202
2018282,ASAMBLEISTA POBLACION,32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,1703,"U.E. San Fernando """"A""""",3,220,1,0,0,0,4,0,0,0,4,2,0,11,0,0,0,37,0,0,0,0,1,0,1,0,76,0,7,0,0,0,0,0,144,46,1,191,144,191
2022562,ASAMBLEISTA POBLACION,32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,2103,Esc. Alcides Arguedas,2,220,0,0,0,0,0,0,0,0,3,1,0,15,0,0,0,42,0,0,0,0,3,0,0,0,92,0,6,0,0,0,0,1,163,24,2,189,163,189
